Date,Day,Usage
31/12/2022,SAT,1011499
30/12/2022,FRI,1138650
29/12/2022,THU,1171335
28/12/2022,WED,1025965
27/12/2022,TUE,884308
26/12/2022,MON,695902
25/12/2022,SUN,603
24/12/2022,SAT,919912
23/12/2022,FRI,1233449
22/12/2022,THU,1317204
21/12/2022,WED,1374585
20/12/2022,TUE,1428496
19/12/2022,MON,1323747
18/12/2022,SUN,834803
17/12/2022,SAT,1101518
16/12/2022,FRI,1438499
15/12/2022,THU,1553476
14/12/2022,WED,1452637
13/12/2022,TUE,1417887
12/12/2022,MON,1362377
11/12/2022,SUN,909174
10/12/2022,SAT,1249749
09/12/2022,FRI,1675299
08/12/2022,THU,1736288
07/12/2022,WED,1732180
06/12/2022,TUE,1738135
05/12/2022,MON,1654013
04/12/2022,SUN,962679
03/12/2022,SAT,1282687
02/12/2022,FRI,1711127
01/12/2022,THU,1731673
30/11/2022,WED,1719203
29/11/2022,TUE,1708126
28/11/2022,MON,1653738
27/11/2022,SUN,951356
26/11/2022,SAT,1261991
25/11/2022,FRI,1709927
24/11/2022,THU,1727056
23/11/2022,WED,1712077
22/11/2022,TUE,1724023
21/11/2022,MON,1598302
20/11/2022,SUN,982347
19/11/2022,SAT,1319268
18/11/2022,FRI,1749523
17/11/2022,THU,1741437
16/11/2022,WED,1740637
15/11/2022,TUE,1685943
14/11/2022,MON,1679098
13/11/2022,SUN,999848
12/11/2022,SAT,1349673
11/11/2022,FRI,1725628
10/11/2022,THU,1442092
09/11/2022,WED,1717395
08/11/2022,TUE,1712197
07/11/2022,MON,1576057
06/11/2022,SUN,904220
05/11/2022,SAT,1184717
04/11/2022,FRI,1724965
03/11/2022,THU,1660772
02/11/2022,WED,1733307
01/11/2022,TUE,1676058
31/10/2022,MON,1628356
30/10/2022,SUN,980902
29/10/2022,SAT,1311735
28/10/2022,FRI,1534392
27/10/2022,THU,1537017
26/10/2022,WED,1519787
25/10/2022,TUE,1513686
24/10/2022,MON,1453348
23/10/2022,SUN,912662
22/10/2022,SAT,1290342
21/10/2022,FRI,1633387
20/10/2022,THU,1663022
19/10/2022,WED,1699769
18/10/2022,TUE,1714679
17/10/2022,MON,1631536
16/10/2022,SUN,987362
15/10/2022,SAT,1304943
14/10/2022,FRI,1710299
13/10/2022,THU,1741410
12/10/2022,WED,1736976
11/10/2022,TUE,1739343
10/10/2022,MON,1659675
09/10/2022,SUN,1010408
08/10/2022,SAT,1250011
07/10/2022,FRI,1714079
06/10/2022,THU,1743853
05/10/2022,WED,1551848
04/10/2022,TUE,1703497
03/10/2022,MON,1651875
02/10/2022,SUN,967248
01/10/2022,SAT,1241208
30/09/2022,FRI,1700808
29/09/2022,THU,1754250
28/09/2022,WED,1741402
27/09/2022,TUE,1699485
26/09/2022,MON,1639318
25/09/2022,SUN,984599
24/09/2022,SAT,1302869
23/09/2022,FRI,1686590
22/09/2022,THU,1737241
21/09/2022,WED,1711153
20/09/2022,TUE,1706350
19/09/2022,MON,679369
18/09/2022,SUN,1034480
17/09/2022,SAT,1297371
16/09/2022,FRI,1692990
15/09/2022,THU,1678488
14/09/2022,WED,1690477
13/09/2022,TUE,1654608
12/09/2022,MON,1608612
11/09/2022,SUN,965350
10/09/2022,SAT,1221871
09/09/2022,FRI,1594350
08/09/2022,THU,1601105
07/09/2022,WED,1616971
06/09/2022,TUE,1564152
05/09/2022,MON,1477424
04/09/2022,SUN,927063
03/09/2022,SAT,1220467
02/09/2022,FRI,1419564
01/09/2022,THU,1400486
31/08/2022,WED,1395758
30/08/2022,TUE,1361347
29/08/2022,MON,951036
28/08/2022,SUN,919213
27/08/2022,SAT,1173087
26/08/2022,FRI,1379848
25/08/2022,THU,1299412
24/08/2022,WED,1366623
23/08/2022,TUE,1359059
22/08/2022,MON,1295704
21/08/2022,SUN,898652
20/08/2022,SAT,1021452
19/08/2022,FRI,1039917
18/08/2022,THU,1263270
17/08/2022,WED,1338465
16/08/2022,TUE,1333321
15/08/2022,MON,1290626
14/08/2022,SUN,885513
13/08/2022,SAT,1066645
12/08/2022,FRI,1323001
11/08/2022,THU,1343276
10/08/2022,WED,1368475
09/08/2022,TUE,1368554
08/08/2022,MON,1316682
07/08/2022,SUN,936224
06/08/2022,SAT,1188071
05/08/2022,FRI,1385260
04/08/2022,THU,1399162
03/08/2022,WED,1390125
02/08/2022,TUE,1380942
01/08/2022,MON,1329798
31/07/2022,SUN,928044
30/07/2022,SAT,1147363
29/07/2022,FRI,1410343
28/07/2022,THU,1409242
27/07/2022,WED,1275088
26/07/2022,TUE,1413858
25/07/2022,MON,1348721
24/07/2022,SUN,940065
23/07/2022,SAT,1198290
