Kaggle_Classification,Tweet,Original_Manual_Sentiment,Sentiment_v2
Positive,Let's direct the same passion we pour into #world cup 2022 toward #Net Zero #Ban Fossil Fuel #Climate Crisis so our children can still live on this planet!,Strongly Positive,Positive
Positive,This is my #usmntxi - let's go #USA #Qatar2022 #world cup 2022,Strongly Positive,Positive
Positive,"A little over $13000 in transactions one day since we launched our #Web3 fantasy management platform Probably users keep falling for the design of our logo
#crypto #blok chain #p2e #world cup 2022",Neutral,Neutral
Positive,may Allah bless him giving a strong & powerful worded speech to the world at the opening ceremony of #FIFA world cup #world cup #world cup 2022.,Strongly Positive,Positive
Positive,"Really hoping all the lads are getting a good nights rest rn @usmntonly, tomorrow we go #syked #USMNT #usavswales #stillsyked #world cup 2022",Neutral,Neutral
Positive,"#Dallas Cowboys that's it for tonight or maybe 1 more on the Cowboys spread -17.5

We've still got rolling on our #world cup 2022 #free tip treble tomorrow #Gambling Twitter",Neutral,Neutral
Positive,I believe we all feel proud tonight #world cup 2022 #FIFA world cup,Strongly Positive,Positive
Positive,"A great result and performance, I had asked Gianni if we could be the 33rd team if we beat Malta since we're half way to Qatar. He made a few phone calls but decided it wasn't worth the bad publicity of the 33rd team winning the #Qatar world cup 2022 #world cup 2022 #COYBIG",Strongly Positive,Positive
Positive,"Loud Applause 

I agree 100% with your analysis of #world cup 2022 being held in #Qatar

#Skypapers",Strongly Positive,Positive
Positive,Fluter Vs. Brouwers World Cup Competition is underway! Who will have to wear the shirt that says the other teacher is the best? We'll find out on December 18th!  #friendly competition #i hope we crush them #world cup 2022,Positive,Positive
Positive,"Funny enough $DGTV is Not even a #world cup project but pulled it off in record timing. So impressed with the $DGTV team they have done nothing but continue to develop build & deliver Utility is amazing as a whole the project is God Tier 

#Crypto #ETH #Doge #DogeTv #world cup 2022",Neutral,Neutral
Positive,"Lots of #SPARQL- and #GraphQL-accessible  #world cup 2022  data is already in place just like that :)

#Knowledge Graph",Neutral,Neutral
Positive,WOW #Qatar are bad but their will be plenty of good teams and players to come #world cup 2022 have a look at my ones to watch @ItsAllSportToMe,Positive,Positive
Positive,Lady Gaga is my favorite World Cup player #world cup 2022,Positive,Positive
Positive,Another great show with @LoadedMagNUFC and @The Toon Review talking all things #NUFC and #world cup 2022,Positive,Positive
Positive,"People haven't realised yet how huge this is !
#world cup 2022 #NFT collection has great utilities for the coming casino.
And minting high tier from good team can make you win some good money !
Grab one of them quickly !",Positive,Positive
Positive,@FIFA world cup Seems like #world cup 2022 a thriller as #Ronaldo has the last chance to win the cup for #Portugal,Strongly Positive,Positive
Positive,It's a Sunday afternoon enjoy!!! #world cup 2022 #FIFA world cup #Qatar world cup 2022,Strongly Positive,Positive
Positive,"I can't express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my country #Qatar with the talented #Jungkook , thank you for everything
#world cup 2022 
#JUNGKOOK x FIFA 
#Jungkook At FIFA world cup 
",Strongly Positive,Positive
Positive,"If you have any interest in #world cup 2022, do yourself a favor and go listen to this new podcast. ",Positive,Positive
